    Soil Type,Water Availability,Area Size,Season,Temperature,Rainfall,Crop Cycle,Crop Recommendation,Yield Prediction,Fertilizer Recommendation,Pesticide Recommendation
Silty,low,5160,winter,31,medium,long term,Millet,8.2,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,5180,spring,29,high,medium term,Wheat,8.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,5200,monsoon,30,low,short term,Barley,8.4,Potassium-rich fertilizer,Organic pesticide
Peaty,low,5220,winter,31,medium,long term,Oats,8.5,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,5240,spring,29,high,medium term,Maize,8.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,5260,monsoon,30,low,short term,Rice,8.7,Potassium-rich fertilizer,Organic pesticide
Loamy,low,5280,winter,31,medium,long term,Sorghum,8.8,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,5300,spring,29,high,medium term,Millet,8.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,5320,monsoon,30,low,short term,Wheat,9,Potassium-rich fertilizer,Organic pesticide
Clay,low,5340,winter,31,medium,long term,Barley,9.1,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,5360,spring,29,high,medium term,Oats,9.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,5380,monsoon,30,low,short term,Maize,9.3,Potassium-rich fertilizer,Organic pesticide
Silty,low,5400,winter,31,medium,long term,Rice,9.4,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,5420,spring,29,high,medium term,Sorghum,9.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,5440,monsoon,30,low,short term,Millet,9.6,Potassium-rich fertilizer,Organic pesticide
Peaty,low,5460,winter,31,medium,long term,Wheat,9.7,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,5480,spring,29,high,medium term,Barley,9.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,5500,monsoon,30,low,short term,Oats,9.9,Potassium-rich fertilizer,Organic pesticide
Loamy,low,5520,winter,31,medium,long term,Maize,10,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,5580,spring,28,low,short term,Rye,7.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,5600,monsoon,29,high,medium term,Sorghum,8,Potassium-rich fertilizer,Organic pesticide
Loamy,low,5620,winter,30,medium,long term,Millet,8.1,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,5640,spring,28,low,short term,Wheat,8.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,5660,monsoon,29,high,medium term,Barley,8.3,Potassium-rich fertilizer,Organic pesticide
Clay,low,5680,winter,30,medium,long term,Oats,8.4,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,5700,spring,28,low,short term,Maize,8.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,5720,monsoon,29,high,medium term,Rye,8.6,Potassium-rich fertilizer,Organic pesticide
Silty,low,5740,winter,30,medium,long term,Sorghum,8.7,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,5760,spring,28,low,short term,Millet,8.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,5780,monsoon,29,high,medium term,Wheat,8.9,Potassium-rich fertilizer,Organic pesticide
Peaty,low,5800,winter,30,medium,long term,Barley,9,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,5820,spring,28,low,short term,Oats,9.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,5840,monsoon,29,high,medium term,Maize,9.2,Potassium-rich fertilizer,Organic pesticide
Loamy,low,5860,winter,30,medium,long term,Rye,9.3,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,5880,spring,28,low,short term,Sorghum,9.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,5900,monsoon,29,high,medium term,Millet,9.5,Potassium-rich fertilizer,Organic pesticide
Clay,low,5920,winter,30,medium,long term,Wheat,9.6,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,5940,spring,28,low,short term,Barley,9.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,5960,monsoon,29,high,medium term,Oats,9.8,Potassium-rich fertilizer,Organic pesticide
Silty,low,5980,winter,30,medium,long term,Maize,9.9,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6000,spring,28,low,short term,Rye,10,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,6020,monsoon,29,high,medium term,Sorghum,10.1,Potassium-rich fertilizer,Organic pesticide
Peaty,low,6040,winter,30,medium,long term,Millet,10.2,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6060,spring,28,low,short term,Wheat,10.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,6080,monsoon,29,high,medium term,Barley,10.4,Potassium-rich fertilizer,Organic pesticide
Loamy,low,6100,winter,30,medium,long term,Oats,10.5,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6110,spring,31,low,short term,Maize,10.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,6120,monsoon,32,high,medium term,Rye,10.7,Potassium-rich fertilizer,Organic pesticide
Clay,low,6130,winter,33,medium,long term,Sorghum,10.8,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6140,spring,34,low,short term,Millet,10.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,6150,monsoon,35,high,medium term,Wheat,11,Potassium-rich fertilizer,Organic pesticide
Peaty,low,6160,winter,36,medium,long term,Barley,11.1,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6170,spring,37,low,short term,Oats,11.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,6180,monsoon,38,high,medium term,Maize,11.3,Potassium-rich fertilizer,Organic pesticide
Silty,low,6190,winter,39,medium,long term,Rye,11.4,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6200,spring,40,low,short term,Sorghum,11.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,6210,monsoon,41,high,medium term,Millet,11.6,Potassium-rich fertilizer,Organic pesticide
Loamy,low,6220,winter,42,medium,long term,Wheat,11.7,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6230,spring,43,low,short term,Barley,11.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,6240,monsoon,44,high,medium term,Oats,11.9,Potassium-rich fertilizer,Organic pesticide
Clay,low,6250,winter,45,medium,long term,Maize,12,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6260,spring,46,low,short term,Rye,12.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,6270,monsoon,47,high,medium term,Sorghum,12.2,Potassium-rich fertilizer,Organic pesticide
Peaty,low,6280,winter,48,medium,long term,Millet,12.3,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6290,spring,49,low,short term,Wheat,12.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,6300,monsoon,50,high,medium term,Barley,12.5,Potassium-rich fertilizer,Organic pesticide
Silty,low,6310,winter,51,medium,long term,Oats,12.6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6320,spring,52,low,short term,Maize,12.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,6330,monsoon,53,high,medium term,Rye,12.8,Potassium-rich fertilizer,Organic pesticide
Loamy,low,6340,winter,54,medium,long term,Sorghum,12.9,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6350,spring,55,low,short term,Millet,13,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,6360,monsoon,56,high,medium term,Wheat,13.1,Potassium-rich fertilizer,Organic pesticide
Clay,low,6370,winter,57,medium,long term,Barley,13.2,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,medium,6671,spring,58,low,short term,Oats,13.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,high,6672,monsoon,59,high,medium term,Maize,13.4,Potassium-rich fertilizer,Organic pesticide
Clay,low,6673,winter,60,medium,long term,Sorghum,13.5,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,medium,6674,spring,61,low,short term,Rye,13.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,high,6675,monsoon,62,high,medium term,Millet,13.7,Potassium-rich fertilizer,Organic pesticide
Peaty,low,6676,winter,63,medium,long term,Wheat,13.8,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,medium,6677,spring,64,low,short term,Barley,13.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,high,6678,monsoon,65,high,medium term,Oats,14,Potassium-rich fertilizer,Organic pesticide
Silty,low,6679,winter,66,medium,long term,Maize,14.1,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,medium,6680,spring,67,low,short term,Sorghum,14.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,high,6681,monsoon,68,high,medium term,Rye,14.3,Potassium-rich fertilizer,Organic pesticide
Loamy,low,6682,winter,69,medium,long term,Millet,14.4,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,medium,6683,spring,70,low,short term,Wheat,14.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,high,6684,monsoon,71,high,medium term,Barley,14.6,Potassium-rich fertilizer,Organic pesticide
Clay,low,6685,winter,72,medium,long term,Oats,14.7,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,medium,6686,spring,73,low,short term,Maize,14.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,high,6687,monsoon,74,high,medium term,Sorghum,14.9,Potassium-rich fertilizer,Organic pesticide
Peaty,low,6688,winter,75,medium,long term,Rye,15,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,medium,6689,spring,76,low,short term,Millet,15.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,high,6690,monsoon,77,high,medium term,Wheat,15.2,Potassium-rich fertilizer,Organic pesticide
Silty,low,6691,winter,78,medium,long term,Barley,15.3,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,medium,6692,spring,79,low,short term,Oats,15.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,high,6693,monsoon,80,high,medium term,Maize,15.5,Potassium-rich fertilizer,Organic pesticide
Loamy,low,6694,winter,81,medium,long term,Sorghum,15.6,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,medium,6695,spring,82,low,short term,Rye,15.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,high,6696,monsoon,83,high,medium term,Millet,15.8,Potassium-rich fertilizer,Organic pesticide
Clay,low,6697,winter,84,medium,long term,Wheat,15.9,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,medium,6698,spring,85,low,short term,Barley,16,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,high,6699,monsoon,86,high,medium term,Oats,16.1,Potassium-rich fertilizer,Organic pesticide
Silty,low,6700,winter,87,medium,long term,Maize,16.2,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,medium,6701,spring,88,low,short term,Sorghum,16.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,high,6702,monsoon,89,high,medium term,Rye,16.4,Potassium-rich fertilizer,Organic pesticide
Loamy,low,6703,winter,90,medium,long term,Millet,16.5,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,medium,6704,spring,91,low,short term,Wheat,16.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,high,6705,monsoon,92,high,medium term,Barley,16.7,Potassium-rich fertilizer,Organic pesticide
Clay,low,6706,winter,93,medium,long term,Oats,16.8,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,medium,6707,spring,94,low,short term,Maize,16.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,high,6708,monsoon,95,high,medium term,Sorghum,17,Potassium-rich fertilizer,Organic pesticide
Peaty,low,6709,winter,96,medium,long term,Rye,17.1,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,medium,6710,spring,97,low,short term,Millet,17.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,high,6711,monsoon,98,high,medium term,Wheat,17.3,Potassium-rich fertilizer,Organic pesticide
Silty,low,6712,winter,99,medium,long term,Barley,17.4,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,medium,6713,spring,100,low,short term,Oats,17.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,high,6714,monsoon,101,high,medium term,Maize,17.6,Potassium-rich fertilizer,Organic pesticide
Loamy,low,6715,winter,102,medium,long term,Sorghum,17.7,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,medium,6716,spring,103,low,short term,Rye,17.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,high,6717,monsoon,104,high,medium term,Millet,17.9,Potassium-rich fertilizer,Organic pesticide
Clay,low,6718,winter,105,medium,long term,Wheat,18,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,medium,6719,spring,106,low,short term,Barley,18.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,high,6720,monsoon,107,high,medium term,Oats,18.2,Potassium-rich fertilizer,Organic pesticide
Peaty,low,6721,winter,108,medium,long term,Maize,18.3,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,medium,6722,spring,109,low,short term,Sorghum,18.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6724,winter,111,medium,long term,Millet,18.6,Phosphorus-rich fertilizer,Copper-based pesticide
Chalky,high,6710,summer,97,low,medium term,Rye,16.9,Potassium-rich fertilizer,Organic pesticide
Loamy,low,6725,spring,112,high,short term,Oats,18.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,6726,monsoon,113,medium,long term,Wheat,18.8,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6727,winter,114,low,medium term,Maize,18.9,Potassium-rich fertilizer,Organic pesticide
Clay,low,6728,spring,115,high,short term,Sorghum,19,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,6729,monsoon,116,medium,long term,Barley,19.1,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6730,winter,117,low,medium term,Rye,19.2,Potassium-rich fertilizer,Organic pesticide
Silty,low,6731,spring,118,high,short term,Millet,19.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,6732,monsoon,119,medium,long term,Oats,19.4,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6733,winter,120,low,medium term,Wheat,19.5,Potassium-rich fertilizer,Organic pesticide
Silty,low,6734,spring,121,high,short term,Maize,19.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,6735,monsoon,122,medium,long term,Sorghum,19.7,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6736,winter,123,low,medium term,Barley,19.8,Potassium-rich fertilizer,Organic pesticide
Loamy,low,6737,spring,124,high,short term,Rye,19.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,6738,monsoon,125,medium,long term,Millet,20,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6739,winter,126,low,medium term,Oats,20.1,Potassium-rich fertilizer,Organic pesticide
Clay,low,6740,spring,127,high,short term,Wheat,20.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,6741,monsoon,128,medium,long term,Maize,20.3,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6742,winter,129,low,medium term,Sorghum,20.4,Potassium-rich fertilizer,Organic pesticide
Peaty,low,6743,spring,130,high,short term,Barley,20.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,6744,monsoon,131,medium,long term,Rye,20.6,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6745,winter,132,low,medium term,Millet,20.7,Potassium-rich fertilizer,Organic pesticide
Silty,low,6746,spring,133,high,short term,Oats,20.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,6747,monsoon,134,medium,long term,Wheat,20.9,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6748,winter,135,low,medium term,Maize,21,Potassium-rich fertilizer,Organic pesticide
Loamy,low,6749,spring,136,high,short term,Sorghum,21.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,6750,monsoon,137,medium,long term,Barley,21.2,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,low,6751,summer,138,low,medium term,Rye,21.3,Potassium-rich fertilizer,Organic pesticide
Loamy,high,6752,monsoon,139,high,short term,Oats,21.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,6753,winter,140,medium,long term,Wheat,21.5,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,low,6754,spring,141,high,medium term,Maize,21.6,Potassium-rich fertilizer,Organic pesticide
Peaty,high,6755,monsoon,142,low,short term,Sorghum,21.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,6756,winter,143,medium,long term,Barley,21.8,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,6757,spring,144,high,medium term,Rye,21.9,Potassium-rich fertilizer,Organic pesticide
Silty,high,6758,monsoon,145,low,short term,Oats,22,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,6759,winter,146,medium,long term,Wheat,22.1,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,low,6760,spring,147,high,medium term,Maize,22.2,Potassium-rich fertilizer,Organic pesticide
Silty,high,6761,monsoon,148,low,short term,Sorghum,22.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,6762,winter,149,medium,long term,Barley,22.4,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,6763,spring,150,high,medium term,Rye,22.5,Potassium-rich fertilizer,Organic pesticide
Loamy,high,6764,monsoon,151,low,short term,Oats,22.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,6765,winter,152,medium,long term,Wheat,22.7,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,low,6766,spring,153,high,medium term,Maize,22.8,Potassium-rich fertilizer,Organic pesticide
Clay,high,6767,monsoon,154,low,short term,Sorghum,22.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,6768,winter,155,medium,long term,Barley,23,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,low,6769,spring,156,high,medium term,Rye,23.1,Potassium-rich fertilizer,Organic pesticide
Peaty,high,6770,monsoon,157,low,short term,Oats,23.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,6771,winter,158,medium,long term,Wheat,23.3,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,low,6772,spring,159,high,medium term,Maize,23.4,Potassium-rich fertilizer,Organic pesticide
Silty,high,6773,monsoon,160,low,short term,Sorghum,23.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,6774,winter,161,medium,long term,Barley,23.6,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,6775,spring,162,high,medium term,Rye,23.7,Potassium-rich fertilizer,Organic pesticide
Loamy,high,6776,monsoon,163,low,short term,Oats,23.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,6777,winter,164,medium,long term,Wheat,23.9,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,low,6778,spring,165,high,medium term,Maize,24,Potassium-rich fertilizer,Organic pesticide
Sandy,medium,6798,monsoon,168,medium,medium term,Sugarcane,24.6,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6799,winter,169,low,short term,Rice,24.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6800,spring,170,high,long term,Potato,24.8,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6801,monsoon,171,medium,medium term,Sorghum,24.9,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6802,winter,172,low,short term,Maize,25,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6803,spring,173,high,long term,Barley,25.1,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6804,monsoon,174,medium,medium term,Rye,25.2,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6805,winter,175,low,short term,Oats,25.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6806,spring,176,high,long term,Wheat,25.4,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6807,monsoon,177,medium,medium term,Sugarcane,25.5,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6808,winter,178,low,short term,Rice,25.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6809,spring,179,high,long term,Potato,25.7,Potassium-rich fertilizer,Organic pesticide
Peaty,medium,6810,monsoon,180,medium,medium term,Maize,25.8,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6811,winter,181,low,short term,Barley,25.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6812,spring,182,high,long term,Rye,26,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6813,monsoon,183,medium,medium term,Oats,26.1,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6814,winter,184,low,short term,Wheat,26.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6815,spring,185,high,long term,Sugarcane,26.3,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6816,monsoon,186,medium,medium term,Rice,26.4,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6817,winter,187,low,short term,Potato,26.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6818,spring,188,high,long term,Maize,26.6,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6819,monsoon,189,medium,medium term,Barley,26.7,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6820,winter,190,low,short term,Rye,26.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6821,spring,191,high,long term,Oats,26.9,Potassium-rich fertilizer,Organic pesticide
Peaty,medium,6822,monsoon,192,medium,medium term,Wheat,27,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6823,winter,193,low,short term,Sugarcane,27.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6824,spring,194,high,long term,Rice,27.2,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6825,monsoon,195,medium,medium term,Barley,27.3,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6826,winter,196,low,short term,Potato,27.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6827,spring,197,high,long term,Maize,27.5,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6828,monsoon,198,medium,medium term,Rye,27.6,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6829,winter,199,low,short term,Sugarcane,27.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6830,spring,200,high,long term,Oats,27.8,Potassium-rich fertilizer,Organic pesticide
Peaty,medium,6831,monsoon,201,medium,medium term,Wheat,27.9,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6832,winter,202,low,short term,Rye,28,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6833,spring,203,high,long term,Rice,28.1,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6834,monsoon,204,medium,medium term,Potato,28.2,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6835,winter,205,low,short term,Maize,28.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6836,spring,206,high,long term,Barley,28.4,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6837,monsoon,207,medium,medium term,Sugarcane,28.5,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6838,winter,208,low,short term,Oats,28.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6839,spring,209,high,long term,Wheat,28.7,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6840,monsoon,210,medium,medium term,Rye,28.8,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6841,winter,211,low,short term,Rice,28.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6842,spring,212,high,long term,Potato,29,Potassium-rich fertilizer,Organic pesticide
Peaty,medium,6843,monsoon,213,medium,medium term,Maize,29.1,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6844,winter,214,low,short term,Barley,29.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6845,spring,215,high,long term,Sugarcane,29.3,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6846,monsoon,216,medium,medium term,Oats,29.4,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6847,winter,217,low,short term,Wheat,29.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6848,spring,218,high,long term,Rye,29.6,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6849,monsoon,219,medium,medium term,Rice,29.7,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6850,winter,220,low,short term,Potato,29.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6851,spring,221,high,long term,Maize,29.9,Potassium-rich fertilizer,Organic pesticide
Chalky,medium,6842,monsoon,223,low,medium term,Sugarcane,30.1,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6843,winter,224,medium,short term,Barley,30.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6844,spring,225,high,long term,Oats,30.3,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6845,monsoon,226,medium,medium term,Rye,30.4,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6846,winter,227,low,short term,Wheat,30.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6847,spring,228,high,long term,Rice,30.6,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6848,monsoon,229,medium,medium term,Maize,30.7,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6849,winter,230,low,short term,Sugarcane,30.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6850,spring,231,high,long term,Barley,30.9,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6851,monsoon,232,medium,medium term,Oats,31,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6852,winter,233,low,short term,Rye,31.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6853,spring,234,high,long term,Wheat,31.2,Potassium-rich fertilizer,Organic pesticide
Peaty,medium,6854,monsoon,235,medium,medium term,Rice,31.3,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6855,winter,236,low,short term,Maize,31.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6856,spring,237,high,long term,Sugarcane,31.5,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6857,monsoon,238,medium,medium term,Barley,31.6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6858,winter,239,low,short term,Oats,31.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6859,spring,240,high,long term,Rye,31.8,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6860,monsoon,241,medium,medium term,Wheat,31.9,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6861,winter,242,low,short term,Rice,32,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
